@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2}

@data
568,'2017/02/18 17:15:27:247',2,802.63739,849.780212,845.750916,847.765564,840.109863,1
569,'2017/02/18 17:15:27:248',2,805.457886,850.989014,841.721619,865.494507,892.490845,1
570,'2017/02/18 17:15:27:249',2,807.472534,849.780212,840.109863,810.695984,784.102539,1
571,'2017/02/18 17:15:27:250',2,804.652039,852.600708,840.512817,827.216125,855.421265,1
572,'2017/02/18 17:15:27:251',2,803.84613,846.959717,839.70697,874.761902,811.501831,1
573,'2017/02/18 17:15:27:253',2,815.531128,846.959717,840.915771,812.307678,857.435913,1
574,'2017/02/18 17:15:27:255',2,837.289368,852.197815,843.736267,824.39563,875.970703,1
575,'2017/02/18 17:15:27:257',2,828.021973,851.391968,842.124512,875.970703,825.60437,1
576,'2017/02/18 17:15:27:258',2,843.333313,848.974365,840.109863,874.761902,866.300354,1
577,'2017/02/18 17:15:28:259',2,821.575073,847.765564,836.483521,799.010986,863.479858,1
578,'2017/02/18 17:15:28:260',2,809.084229,849.780212,836.886475,834.065918,826.007324,1
579,'2017/02/18 17:15:28:261',2,830.439575,854.615356,836.886475,859.047607,805.457886,1
580,'2017/02/18 17:15:28:262',2,832.857117,856.227112,834.468872,799.41394,832.454224,1
581,'2017/02/18 17:15:28:263',2,828.424927,853.809509,833.260071,810.695984,795.787537,1
582,'2017/02/18 17:15:28:266',2,841.721619,855.824158,835.677673,882.820496,838.095215,1
583,'2017/02/18 17:15:28:266',2,817.94873,853.003662,841.721619,853.003662,844.139221,1
584,'2017/02/18 17:15:28:266',2,840.915771,851.391968,847.765564,816.739929,830.439575,1
585,'2017/02/18 17:15:28:266',2,842.527466,850.58606,853.003662,903.369934,815.531128,1
586,'2017/02/18 17:15:28:266',2,843.736267,851.391968,844.945068,865.494507,853.809509,1
587,'2017/02/18 17:15:28:267',2,816.739929,853.809509,842.93042,813.516479,873.150208,1
588,'2017/02/18 17:15:28:267',2,846.556763,849.780212,836.886475,857.435913,849.377319,1
589,'2017/02/18 17:15:28:269',2,854.212463,849.377319,836.886475,878.791199,856.227112,1
590,'2017/02/18 17:15:28:270',2,838.095215,846.556763,839.304016,852.600708,822.380981,1
591,'2017/02/18 17:15:28:270',2,844.542114,847.36261,832.454224,843.333313,846.959717,1
592,'2017/02/18 17:15:28:270',2,838.095215,845.750916,840.109863,899.340637,821.575073,1
593,'2017/02/18 17:15:28:272',2,863.076904,850.183167,841.318665,840.512817,853.406616,1
594,'2017/02/18 17:15:28:274',2,847.765564,846.556763,836.080566,860.256409,855.018311,1
595,'2017/02/18 17:15:28:275',2,828.424927,848.168518,832.857117,901.355286,840.109863,1
596,'2017/02/18 17:15:28:275',2,833.260071,847.36261,836.483521,875.164856,865.091553,1
597,'2017/02/18 17:15:28:276',2,842.527466,848.168518,837.289368,833.663025,849.780212,1
598,'2017/02/18 17:15:28:277',2,840.915771,847.36261,834.871765,851.391968,848.974365,1
599,'2017/02/18 17:15:28:278',2,845.347961,849.377319,828.82782,863.076904,838.498169,1
600,'2017/02/18 17:15:28:279',2,818.351624,847.765564,831.245422,836.886475,860.659363,1
601,'2017/02/18 17:15:28:280',2,804.652039,846.959717,840.109863,826.813171,834.468872,1
602,'2017/02/18 17:15:28:282',2,826.813171,844.945068,840.915771,877.985352,829.230774,1
603,'2017/02/18 17:15:28:282',2,827.619019,845.750916,843.333313,856.630066,844.945068,1
604,'2017/02/18 17:15:28:283',2,846.959717,842.93042,844.945068,820.366272,839.70697,1
605,'2017/02/18 17:15:28:284',2,812.710632,845.347961,848.974365,842.124512,838.498169,1
606,'2017/02/18 17:15:28:286',2,802.234436,842.124512,840.915771,866.703308,793.369934,1
607,'2017/02/18 17:15:28:286',2,796.593384,841.721619,838.498169,815.128235,844.542114,1
608,'2017/02/18 17:15:28:287',2,795.384644,849.377319,836.483521,845.347961,842.527466,1
609,'2017/02/18 17:15:28:288',2,850.989014,853.406616,836.886475,870.329651,808.681335,1
610,'2017/02/18 17:15:28:289',2,842.93042,859.853455,832.454224,827.216125,840.109863,1
611,'2017/02/18 17:15:28:290',2,827.216125,856.227112,833.260071,827.619019,835.677673,1
612,'2017/02/18 17:15:28:290',2,818.754578,845.750916,840.109863,848.571411,826.813171,1
613,'2017/02/18 17:15:28:291',2,850.989014,846.556763,847.765564,875.164856,814.725281,1
614,'2017/02/18 17:15:28:292',2,828.82782,851.391968,839.70697,817.142883,831.648376,1
615,'2017/02/18 17:15:28:293',2,855.421265,851.391968,834.871765,863.479858,830.842468,1
616,'2017/02/18 17:15:28:293',2,855.018311,846.556763,832.05127,869.926758,861.46521,1
617,'2017/02/18 17:15:28:295',2,830.036621,849.377319,834.468872,834.871765,851.391968,1
618,'2017/02/18 17:15:28:295',2,834.871765,850.58606,836.483521,838.901123,851.391968,1
619,'2017/02/18 17:15:28:298',2,838.095215,859.853455,831.245422,887.655701,869.523804,1
620,'2017/02/18 17:15:28:298',2,861.062256,866.300354,827.216125,830.842468,819.560425,1
621,'2017/02/18 17:15:28:299',2,820.769226,851.794861,832.454224,827.619019,806.263733,1
622,'2017/02/18 17:15:28:300',2,831.245422,846.15387,838.901123,872.344299,865.091553,1
623,'2017/02/18 17:15:28:300',2,848.974365,844.139221,840.915771,855.018311,825.201477,1
624,'2017/02/18 17:15:28:300',2,803.040283,852.600708,830.439575,809.487183,863.076904,1
625,'2017/02/18 17:15:28:301',2,840.915771,855.824158,832.857117,865.897461,813.516479,1
626,'2017/02/18 17:15:28:301',2,842.93042,856.630066,833.663025,884.029297,833.663025,1
627,'2017/02/18 17:15:28:303',2,842.93042,859.047607,825.60437,844.139221,844.542114,1
628,'2017/02/18 17:15:28:304',2,852.197815,852.197815,830.842468,839.304016,837.289368,1
629,'2017/02/18 17:15:28:306',2,820.769226,848.974365,833.663025,875.970703,828.424927,1
630,'2017/02/18 17:15:28:307',2,857.838806,851.794861,836.483521,839.304016,819.963379,1
631,'2017/02/18 17:15:28:308',2,828.021973,854.212463,829.633728,815.531128,829.633728,1
632,'2017/02/18 17:15:28:309',2,809.084229,859.450562,828.021973,869.926758,794.578735,1
633,'2017/02/18 17:15:28:310',2,795.787537,854.615356,831.648376,862.271057,864.285706,1
634,'2017/02/18 17:15:28:317',2,825.201477,860.659363,833.663025,817.545776,855.824158,1
